model	context	full_max	full_rms	full_top_equal	full_gate	both_max	both_rms	both_top_equal	both_gate	direct_max	direct_rms	direct_top_equal	direct_gate	direct_rms_over_full	full_rms_over_both	major_vector_perturbation	material_total_rms_increase
qwen2.5-0.5b	8	1.2144723534584045	0.2778311788476209	true	false	1.1541191935539246	0.2772834268209764	true	false	0.7788907587528229	0.16128359131807316	true	false	0.5805093293957863	1.0019754228838138	true	false
qwen2.5-0.5b	512	1.830350399017334	0.3432300639202133	true	false	2.120079517364502	0.4487760844931976	true	false	1.2690210342407227	0.25896396754998086	true	false	0.7544909224798536	0.7648136248343597	true	false
deepseek-r1-distill-qwen-1.5b	8	0.847926139831543	0.1875947732436799	true	false	0.9970307350158691	0.22555013689058176	true	false	0.7102172374725342	0.14427816950655267	true	false	0.7690948261076535	0.8317209460825349	true	false
deepseek-r1-distill-qwen-1.5b	512	1.0912184715270996	0.1912762399067743	true	false	0.9610781669616699	0.19172708974806962	true	false	0.5836043357849121	0.10483581576087965	true	false	0.5480859296061829	0.9976484812767579	true	false
