model	context	control_max	candidate_max	max_ratio	max_not_worse	control_rms	candidate_rms	rms_ratio	rms_not_worse	control_tps	candidate_tps	tps_percent_change	t512_gate	resident_delta	peak_delta	scale_delta	precision_gate
qwen2.5-0.5b	8	1.2144723534584045	1.1014398336410522	0.9069287007683015	true	0.2778311788476209	0.247828691469637	0.8920118055056773	true	1814.183330633	1550.971415403	-14.508562105361245	not-gated	196224	196224	196224	false
qwen2.5-0.5b	512	1.830350399017334	1.643660545349121	0.8980032163412854	true	0.3432300639202133	0.3737955339865957	1.0890524265773163	false	85827.379571083	82167.281887057	-4.264487279370643	true	196224	196224	196224	false
deepseek-r1-distill-qwen-1.5b	8	0.847926139831543	0.7741536945104599	0.9129966139082121	true	0.1875947732436799	0.1730619472731373	0.9225307522205595	true	1289.295026373	1242.601730509	-3.6216145186998783	not-gated	400960	400960	400960	false
deepseek-r1-distill-qwen-1.5b	512	1.0912184715270996	0.9137680530548096	0.8373832343362388	true	0.1912762399067743	0.16388398044059888	0.8567921479451599	true	50885.82076543	48635.88224303	-4.4215431500488345	true	400960	400960	400960	false
