model	context	control_max	head_max	max_exact	max_improved	control_rms	head_rms	rms_exact	rms_improved	control_tps	head_tps	tps_percent_change	t512_gate	resident_delta	peak_delta	scale_delta	precision_gate
qwen2.5-0.5b	8	1.2144723534584045	1.2144723534584045	true	false	0.2778311788476209	0.2778311788476209	true	false	1941.825182981	1854.044660228	-4.520516240202587	not-gated	0	0	0	false
qwen2.5-0.5b	512	1.830350399017334	1.830350399017334	true	false	0.3432300639202133	0.3432300639202133	true	false	85873.61193357	85147.277072122	-0.8458184593538309	true	0	0	0	false
deepseek-r1-distill-qwen-1.5b	8	0.847926139831543	0.847926139831543	true	false	0.1875947732436799	0.1875947732436799	true	false	1290.18537706	1289.349260593	-0.06480591718573958	not-gated	607740	607740	607740	false
deepseek-r1-distill-qwen-1.5b	512	1.0912184715270996	1.0912184715270996	true	false	0.1912762399067743	0.1912762399067743	true	false	50769.91619361	50505.877522852	-0.5200691483340014	true	607740	607740	607740	false
