model	context	baseline_max	new_max	max_exact	max_improved	baseline_rms	new_rms	rms_exact	rms_improved	baseline_tps	new_tps	tps_percent_change	t512_gate	resident_delta	peak_delta	precision_gate
qwen2.5-0.5b	8	0.9994700998067856	1.2144723534584045	false	false	0.19245532295273582	0.2778311788476209	false	false	1503.511356804	1854.044660228	23.314310320151186	not-comparable	0	41476	false
qwen2.5-0.5b	512	1.4751496315002441	1.830350399017334	false	false	0.2925066092695958	0.3432300639202133	false	false	85193.327565405	85147.277072122	-0.054054107990608724	true	0	0	false
deepseek-r1-distill-qwen-1.5b	8	1.243237018585205	0.847926139831543	false	true	0.43789038513215195	0.1875947732436799	false	true	843.703415048	1289.349260593	52.82020169607187	not-comparable	607740	1181180	false
deepseek-r1-distill-qwen-1.5b	512	1.2399201393127441	1.0912184715270996	false	true	0.249140100254465	0.1912762399067743	false	true	50545.7476366	50505.877522852	-0.07887926405727441	true	607740	607740	false
