"Name","Calls","TotalDurationNs","AverageNs","Percentage","MinNs","MaxNs","StdDev"
"hipModuleLoad",5,3692402440,738480488.000000,81.63,142049787,1496985275,567196788.765198
"hipFree",2804,344812148,122971.522111,7.62,966,9180730,599691.919742
"hipMemcpy",1837,329975642,179627.458900,7.29,3483,216501090,5053927.876345
"hipGetDeviceCount",3,60147825,20049275.000000,1.33,70,60147077,34725715.169249
"hipMalloc",2935,39393745,13422.059625,0.8709,919,163383,16322.204338
"hipLaunchKernel",3456,32803273,9491.687789,0.7252,3341,7721360,131650.346680
"hipExtModuleLaunchKernel",1448,9244032,6384.000000,0.2044,3477,93192,5470.208208
"hipDeviceGetAttribute",35960,5693411,158.326224,0.1259,118,9723,79.379880
"hipGetDevicePropertiesR0600",23782,3798121,159.705702,0.0840,96,8871,105.140243
"hipGetDevice",23780,1642094,69.053574,0.0363,43,6434,66.508930
"hipSetDevice",16760,1275787,76.120943,0.0282,48,7703,81.472346
"hipRuntimeGetVersion",17981,882606,49.085479,0.0195,40,1294,24.254096
"hipEventQuery",3114,366159,117.584778,8.095e-03,60,11041,237.314536
"hipEventRecord",138,344251,2494.572464,7.611e-03,1022,11000,1282.561334
"hipGetLastError",3480,247447,71.105460,5.470e-03,40,1390,78.393191
"hipDeviceSynchronize",7,113894,16270.571429,2.518e-03,724,53834,18004.909986
"hipModuleGetFunction",35,65363,1867.514286,1.445e-03,399,4224,1110.234749
"hipEventDestroy",128,61907,483.648438,1.369e-03,117,5494,585.651540
"hipEventCreateWithFlags",138,47870,346.884058,1.058e-03,115,8022,703.253171
"hipMemset",2,28113,14056.500000,6.215e-04,9584,18529,6325.070158
"hipDriverGetVersion",1,1025,1025.000000,2.266e-05,1025,1025,0.00000000e+00
