model	fp32_tokens_per_second	bf16_policy_tokens_per_second	throughput_ratio	fp32_engine_bytes	bf16_engine_bytes	extra_engine_bytes	exact_tokens	decision
Qwen2.5-0.5B	147.406526260	125.288705112	0.849954	1976131080	2053201416	77070336	true	discard
DeepSeek-R1-Distill-Qwen-1.5B	53.363863155	51.851509353	0.971660	7108352048	8649758768	1541406720	true	discard
