"Domain","Function","Process_Id","Thread_Id","Correlation_Id","Start_Timestamp","End_Timestamp"
"HIP_RUNTIME_API_EXT","hipSetDevice",2659034,2659034,64,3219595902820152,3219595902820216
"HIP_RUNTIME_API_EXT","hipMemcpy",2659034,2659034,65,3219595902820755,3219595902836967
"HIP_RUNTIME_API_EXT","hipSetDevice",2659034,2659034,66,3219595902837914,3219595902837976
"HIP_RUNTIME_API_EXT","hipMalloc",2659034,2659034,67,3219595902838340,3219595902839797
"HIP_RUNTIME_API_EXT","hipSetDevice",2659034,2659034,68,3219595902840239,3219595902840303
"HIP_RUNTIME_API_EXT","hipMemcpy",2659034,2659034,69,3219595902840683,3219595902862031
"HIP_RUNTIME_API_EXT","hipSetDevice",2659034,2659034,70,3219595902862791,3219595902862857
"HIP_RUNTIME_API_EXT","hipMalloc",2659034,2659034,71,3219595902864659,3219595902866054
"HIP_RUNTIME_API_EXT","hipSetDevice",2659034,2659034,72,3219595902866502,3219595902866563
"HIP_RUNTIME_API_EXT","hipMemcpy",2659034,2659034,73,3219595902866924,3219595902886156
"HIP_RUNTIME_API_EXT","hipSetDevice",2659034,2659034,74,3219595902886792,3219595902886858
"HIP_RUNTIME_API_EXT","hipMalloc",2659034,2659034,75,3219595902887320,3219595902888876
"HIP_RUNTIME_API_EXT","hipSetDevice",2659034,2659034,76,3219595902889312,3219595902889372
"HIP_RUNTIME_API_EXT","hipMemcpy",2659034,2659034,77,3219595902889855,3219595902908338
"HIP_RUNTIME_API_EXT","hipSetDevice",2659034,2659034,78,3219595902909238,3219595902909303
"HIP_RUNTIME_API_EXT","hipMalloc",2659034,2659034,79,3219595902909746,3219595902911200
"HIP_RUNTIME_API_EXT","hipSetDevice",2659034,2659034,80,3219595902911664,3219595902911723
"HIP_RUNTIME_API_EXT","hipMemcpy",2659034,2659034,81,3219595902912119,3219595902928715
"HIP_RUNTIME_API_EXT","hipSetDevice",2659034,2659034,82,3219595902929688,3219595902929757
"HIP_RUNTIME_API_EXT","hipMalloc",2659034,2659034,83,3219595902930133,3219595902931846
"HIP_RUNTIME_API_EXT","hipSetDevice",2659034,2659034,84,3219595902932291,3219595902932358
"HIP_RUNTIME_API_EXT","hipMemcpy",2659034,2659034,85,3219595902932720,3219595902955151
"HIP_RUNTIME_API_EXT","hipSetDevice",2659034,2659034,86,3219595902983691,3219595902983767
"HIP_RUNTIME_API_EXT","hipMalloc",2659034,2659034,87,3219595902984187,3219595902985805
"HIP_RUNTIME_API_EXT","hipSetDevice",2659034,2659034,88,3219595902986253,3219595902986314
"HIP_RUNTIME_API_EXT","hipMemcpy",2659034,2659034,89,3219595902986672,3219595903004058
"HIP_RUNTIME_API_EXT","hipSetDevice",2659034,2659034,90,3219595903015684,3219595903015751
"HIP_RUNTIME_API_EXT","hipMalloc",2659034,2659034,91,3219595903016175,3219595903017719
"HIP_RUNTIME_API_EXT","hipSetDevice",2659034,2659034,92,3219595903022479,3219595903022544
"HIP_RUNTIME_API_EXT","hipLaunchKernel",2659034,2659034,93,3219595903033173,3219595912116708
