"Name","Calls","TotalDurationNs","AverageNs","Percentage","MinNs","MaxNs","StdDev"
"hipModuleLoad",3,2863326884,954442294.666667,76.57,107684327,1560299712,755676961.768620
"hipMemcpy",586,554330247,945956.052901,14.82,18493,235329232,9789919.889189
"hipFree",4744,160982890,33933.998735,4.30,1079,2193974,101848.697454
"hipSetDevice",14767,60318116,4084.656057,1.61,48,59235100,487452.672618
"hipLaunchKernel",4020,41001632,10199.410945,1.10,3455,6486187,103183.368860
"hipMalloc",4745,40286127,8490.226976,1.08,995,181136,16805.354476
"hipDeviceGetAttribute",31856,5026776,157.796836,0.1344,120,7601,86.190473
"hipExtModuleLaunchKernel",676,4759529,7040.723373,0.1273,4164,96912,5263.360810
"hipDeviceSynchronize",3,4279738,1426579.333333,0.1144,701,2295141,1244614.449783
"hipGetDevicePropertiesR0600",18640,2853731,153.097157,0.0763,94,7386,69.867634
"hipGetDevice",18634,1255129,67.356928,0.0336,42,7956,65.285524
"hipRuntimeGetVersion",15929,767004,48.151422,0.0205,39,5004,43.249573
"hipGetLastError",4029,278692,69.171507,7.453e-03,39,7784,146.341110
"hipModuleGetFunction",15,39797,2653.133333,1.064e-03,771,14339,3324.842528
"hipMemset",1,18244,18244.000000,4.879e-04,18244,18244,0.00000000e+00
"hipGetDeviceCount",2,456,228.000000,1.219e-05,53,403,247.487373
"hipDriverGetVersion",1,367,367.000000,9.814e-06,367,367,0.00000000e+00
