model	context	e4_max	e5_max	max_ratio	e4_rms	e5_rms	rms_ratio	tps_percent	t512_pass	resident_delta	peak_delta
qwen2.5-0.5b	8	1.2144723534584045	1.9216609001159668	1.5823010665032675	0.2778311788476209	0.4412146501303683	1.5880674442675011	2.1606779882500593	not-gated	0	0
qwen2.5-0.5b	512	1.830350399017334	2.760447859764099	1.5081526800803329	0.3432300639202133	0.7285810712098886	2.122719271407569	0.06160889675239645	True	0	0
deepseek-r1-distill-qwen-1.5b	8	0.7741536945104599	1.5934367179870605	2.0582950508227937	0.1730619472731373	0.40639668373212057	2.3482729169267906	-0.17943884155627865	not-gated	0	0
deepseek-r1-distill-qwen-1.5b	512	0.9137680530548096	2.602025091648102	2.8475772193493696	0.16388398044059888	0.5618404674308447	3.4282817998461326	-0.30030667342727524	True	0	0
