"Name","Calls","TotalDurationNs","AverageNs","Percentage","MinNs","MaxNs","StdDev"
"hipModuleLoad",3,2845800401,948600133.666667,78.08,108729279,1532213550,745538579.465860
"hipMemcpy",594,569824707,959300.853535,15.63,16624,236410017,9769545.977854
"hipFree",6194,80092511,12930.660478,2.20,901,389363,23545.852958
"hipGetDeviceCount",3,58699595,19566531.666667,1.61,229,58698939,33889658.862052
"hipLaunchKernel",4134,43519078,10527.111272,1.19,3492,13450851,209416.024927
"hipMalloc",6195,22486721,3629.817756,0.6170,763,170445,9870.318189
"hipExtModuleLaunchKernel",1859,11611952,6246.343195,0.3186,4071,169236,5345.048899
"hipDeviceGetAttribute",31856,4985765,156.509449,0.1368,120,2376,48.692108
"hipGetDevicePropertiesR0600",23372,3589322,153.573592,0.0985,94,2079,60.410340
"hipGetDevice",23366,1604810,68.681417,0.0440,42,8140,62.916497
"hipSetDevice",18977,1442550,76.015703,0.0396,48,4635,76.080219
"hipRuntimeGetVersion",15929,805630,50.576307,0.0221,39,922,20.336844
"hipGetLastError",4139,292993,70.788355,8.039e-03,38,5601,100.850830
"hipMemset",1,21883,21883.000000,6.004e-04,21883,21883,0.00000000e+00
"hipModuleGetFunction",9,18204,2022.666667,4.995e-04,835,3234,855.272325
"hipDeviceSynchronize",2,2180,1090.000000,5.981e-05,707,1473,541.643794
"hipDriverGetVersion",1,913,913.000000,2.505e-05,913,913,0.00000000e+00
