model	stage_index	stage	elements	max_abs	rms_abs	relative_l2	delta_relative_l2	exact
qwen2.5-0.5b	0	inference.blocks.0	7168	0.075100064277648926	0.010271988804834748	0.044199264163053524	0.044199264163053524	false
qwen2.5-0.5b	1	inference.blocks.1	7168	0.10330104827880859	0.015428550195166446	0.049721725064467752	0.0055224609014142279	false
qwen2.5-0.5b	2	inference.blocks.2	7168	1.2549552917480469	0.05153280174876014	0.0053757581151005025	-0.044345966949367252	false
qwen2.5-0.5b	3	inference.blocks.3	7168	8.93994140625	0.12609557887002878	0.0062454684997485443	0.00086971038464804182	false
qwen2.5-0.5b	4	inference.blocks.4	7168	8.9144287109375	0.12778625704407662	0.0063219480340426151	7.6479534294070749e-05	false
qwen2.5-0.5b	5	inference.blocks.5	7168	12.1103515625	0.15933289493431466	0.0077580540542379348	0.0014361060201953197	false
qwen2.5-0.5b	6	inference.blocks.6	7168	12.113525390625	0.15916398219149447	0.0077466965304096051	-1.1357523828329705e-05	false
qwen2.5-0.5b	7	inference.blocks.7	7168	12.1646728515625	0.15932801897434395	0.0077523202408065726	5.6237103969675531e-06	false
qwen2.5-0.5b	8	inference.blocks.8	7168	12.176513671875	0.16004596122422604	0.0077843166970463394	3.1996456239766734e-05	false
qwen2.5-0.5b	9	inference.blocks.9	7168	12.193115234375	0.16168529278737301	0.0078608918167124321	7.6575119666092741e-05	false
qwen2.5-0.5b	10	inference.blocks.10	7168	12.128662109375	0.1608918985908028	0.0078165862720666907	-4.4305544645741393e-05	false
qwen2.5-0.5b	11	inference.blocks.11	7168	12.1395263671875	0.16095489487390169	0.0078150211494665434	-1.5651226001472951e-06	false
qwen2.5-0.5b	12	inference.blocks.12	7168	12.106689453125	0.16045370156753361	0.0077854943182221791	-2.9526831244364345e-05	false
qwen2.5-0.5b	13	inference.blocks.13	7168	12.0831298828125	0.16184378976331162	0.0078503925200280097	6.4898201805830592e-05	false
qwen2.5-0.5b	14	inference.blocks.14	7168	12.0733642578125	0.16423230528351496	0.0079600512786759479	0.0001096587586479382	false
qwen2.5-0.5b	15	inference.blocks.15	7168	12.1151123046875	0.16650218527239802	0.0080607362046353614	0.0001006849259594135	false
qwen2.5-0.5b	16	inference.blocks.16	7168	12.124755859375	0.17042259379605798	0.0082465980114826698	0.00018586180684730842	false
qwen2.5-0.5b	17	inference.blocks.17	7168	12.1033935546875	0.17214368114314121	0.0083266443635167751	8.0046352034105275e-05	false
qwen2.5-0.5b	18	inference.blocks.18	7168	12.1141357421875	0.17605763008539591	0.0085172019254321964	0.00019055756191542136	false
qwen2.5-0.5b	19	inference.blocks.19	7168	12.112548828125	0.18200001493775703	0.0088107568753163102	0.00029355494988411376	false
qwen2.5-0.5b	20	inference.blocks.20	7168	12.2447509765625	0.19227904733336479	0.0093186849770643017	0.00050792810174799148	false
qwen2.5-0.5b	21	inference.blocks.21	7168	40.6190185546875	0.50708241072713234	0.2120999529327805	0.20278126795571619	false
