model	context	control_max	candidate_max	max_not_worse	control_rms	candidate_rms	rms_not_worse	tps_percent	t512_pass	resident_delta	peak_delta	precision_gate
qwen2.5-0.5b	8	1.2144723534584045	1.2144723534584045	True	0.2778311788476209	0.2778311788476209	True	1.2714983998431073	not-gated	85920	85920	False
qwen2.5-0.5b	512	1.830350399017334	1.830350399017334	True	0.3432300639202133	0.3432300639202133	True	-3.7432423481417954	True	85920	85920	False
deepseek-r1-distill-qwen-1.5b	8	0.847926139831543	0.7741536945104599	True	0.1875947732436799	0.1730619472731373	True	-0.5858216950796913	not-gated	171920	171920	False
deepseek-r1-distill-qwen-1.5b	512	1.0912184715270996	0.9137680530548096	True	0.1912762399067743	0.16388398044059888	True	-1.496619461504578	True	171920	171920	False
