model	layer	elements	rec_fp32_max	rec_fp8_max	error_linearity_max	norm_r32	norm_f32	norm_sum32	cancellation_factor	cos_r_f	norm_er	norm_ef	norm_eout	cos_er_ef	numerator_amplification	denominator_contraction	ffn_rel_l2	block_rel_l2	rel_l2_ratio	cancellation_proven
qwen2.5-0.5b	21	7168	0.0	0.0	2.86102294921875e-06	1748.6951992719141	1697.1132290769583	202.412333913046	17.02370780344419	-0.9935455709589998	16.473980226028427	29.57438658595196	42.93164649597131	0.7153927054832454	1.4516496012926314	8.384435850663223	0.017426289583540134	0.2120999529327805	12.171262959678913	true
deepseek-r1-distill-qwen-1.5b	27	12288	0.0	0.0	1.52587890625e-05	6718.922022231773	7174.824805971562	3122.932419374545	4.4489425201797825	-0.9010014931320783	260.68679538637537	232.18956192473757	359.12418519545963	0.0586546252921372	1.5466853127181786	2.2974639993677872	0.03236170473897672	0.11499582346626135	3.553453824320923	true
