
ROCPROFV3 HIP_API SUMMARY:

|                   NAME                   |    DOMAIN    |      CALLS      | DURATION (nsec) | AVERAGE (nsec)  | PERCENT (INC) |   MIN (nsec)    |   MAX (nsec)    |     STDDEV      |
|------------------------------------------|--------------|-----------------|-----------------|-----------------|---------------|-----------------|-----------------|-----------------|
| hipMemcpy                                | HIP_API      |             485 |       192622646 |       3.972e+05 |     66.831713 |            3251 |       188009595 |       8.537e+06 |
| hipGetDeviceCount                        | HIP_API      |               1 |        61236056 |       6.124e+07 |     21.246259 |        61236056 |        61236056 |       0.000e+00 |
| hipLaunchKernel                          | HIP_API      |            1810 |        18321752 |       1.012e+04 |      6.356854 |            3091 |         8384965 |       1.972e+05 |
| hipFree                                  | HIP_API      |            1953 |        12866861 |       6.588e+03 |      4.464243 |             790 |           59042 |       8.198e+03 |
| hipMalloc                                | HIP_API      |            1953 |         2674224 |       1.369e+03 |      0.927840 |             716 |           47472 |       1.481e+03 |
| hipSetDevice                             | HIP_API      |            6203 |          399966 |       6.448e+01 |      0.138771 |              49 |            1389 |       2.682e+01 |
| hipGetLastError                          | HIP_API      |            1810 |           97070 |       5.363e+01 |      0.033679 |              40 |            1168 |       3.222e+01 |
| hipDeviceSynchronize                     | HIP_API      |               2 |            1846 |       9.230e+02 |      0.000640 |             582 |            1264 |       4.822e+02 |


ROCPROFV3 KERNEL_DISPATCH SUMMARY:

|                                                                                                              NAME                                                                                                               |     DOMAIN      |      CALLS      | DURATION (nsec) | AVERAGE (nsec)  | PERCENT (INC) |   MIN (nsec)    |   MAX (nsec)    |     STDDEV      |
|---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|-----------------|-----------------|-----------------|-----------------|---------------|-----------------|-----------------|-----------------|
| void microllm::ops::hip::(anonymous namespace)::matmul_typed_kernel<float>(float const*, float const*, float*, long, long, long, long)                                                                                          | KERNEL_DISPATCH |             720 |         7891251 |       1.096e+04 |     62.885965 |            7257 |           46346 |       4.151e+03 |
| __amd_rocclr_copyBuffer                                                                                                                                                                                                         | KERNEL_DISPATCH |             477 |         1161516 |       2.435e+03 |      9.256207 |             682 |            6575 |       1.390e+03 |
| microllm::ops::hip::(anonymous namespace)::rms_norm_kernel(float const*, float const*, float*, long, long, float)                                                                                                               | KERNEL_DISPATCH |             176 |          483471 |       2.747e+03 |      3.852816 |            2325 |            3648 |       2.474e+02 |
| void microllm::ops::hip::(anonymous namespace)::cached_attention_fused_positions_kernel<float>(float const*, float const*, float const*, int const*, int const*, float*, long, long, long, long, long, long, long, long, float) | KERNEL_DISPATCH |              64 |          454035 |       7.094e+03 |      3.618239 |            5533 |            8780 |       9.162e+02 |
| microllm::runtime::detail::(anonymous namespace)::strided_copy_kernel(std::byte*, std::byte const*, unsigned long, long, microllm::runtime::detail::(anonymous namespace)::Layout)                                              | KERNEL_DISPATCH |             128 |          428693 |       3.349e+03 |      3.416286 |            1604 |            5012 |       5.525e+02 |
| microllm::ops::hip::(anonymous namespace)::rope_positions_kernel(float const*, int const*, float*, long, long, long, float)                                                                                                     | KERNEL_DISPATCH |             128 |          378179 |       2.955e+03 |      3.013737 |            1082 |            5332 |       7.230e+02 |
| void microllm::ops::hip::(anonymous namespace)::add_typed_kernel<float>(float const*, float const*, float*, long)                                                                                                               | KERNEL_DISPATCH |             128 |          344183 |       2.689e+03 |      2.742820 |            1444 |            3448 |       2.895e+02 |
| void microllm::ops::hip::(anonymous namespace)::swiglu_typed_kernel<float>(float const*, float const*, float*, long)                                                                                                            | KERNEL_DISPATCH |              96 |          328268 |       3.419e+03 |      2.615992 |            1563 |           11827 |       9.668e+02 |
| microllm::ops::hip::(anonymous namespace)::causal_gqa_attention_kernel(float const*, float const*, float const*, float*, float*, long, long, long, long, long, long, float)                                                     | KERNEL_DISPATCH |              32 |          207437 |       6.482e+03 |      1.653081 |            5533 |            8299 |       7.163e+02 |
| microllm::ops::hip::(anonymous namespace)::rope_kernel(float const*, float*, long, long, long, long, long, float)                                                                                                               | KERNEL_DISPATCH |              64 |          204387 |       3.194e+03 |      1.628775 |            2406 |            4250 |       4.970e+02 |
| void microllm::ops::hip::(anonymous namespace)::add_rms_norm_kernel<256u>(float const*, float const*, float const*, float*, float*, long, long, float)                                                                          | KERNEL_DISPATCH |              64 |          192202 |       3.003e+03 |      1.531672 |            2726 |            3288 |       1.527e+02 |
| void microllm::ops::hip::(anonymous namespace)::kv_cache_store_pair_positions_kernel<float>(float const*, float const*, int const*, int const*, float*, float*, long, long, long, long, long, long)                             | KERNEL_DISPATCH |              64 |          152191 |       2.378e+03 |      1.212821 |            1764 |            2727 |       1.753e+02 |
| microllm::ops::hip::(anonymous namespace)::argmax_last_dim_kernel(float const*, int*, long, long)                                                                                                                               | KERNEL_DISPATCH |              34 |          120472 |       3.543e+03 |      0.960050 |            3287 |            3969 |       1.656e+02 |
| microllm::ops::hip::(anonymous namespace)::embedding_kernel(float const*, int const*, float*, long, long, long)                                                                                                                 | KERNEL_DISPATCH |              48 |          103915 |       2.165e+03 |      0.828106 |            1684 |            4851 |       4.622e+02 |
| void microllm::ops::hip::(anonymous namespace)::fill_typed_kernel<float>(float*, long, float)                                                                                                                                   | KERNEL_DISPATCH |              64 |           98309 |       1.536e+03 |      0.783432 |            1082 |            2647 |       2.195e+02 |


ROCPROFV3 MEMORY_COPY SUMMARY:

|                   NAME                   |    DOMAIN    |      CALLS      | DURATION (nsec) | AVERAGE (nsec)  | PERCENT (INC) |   MIN (nsec)    |   MAX (nsec)    |     STDDEV      |
|------------------------------------------|--------------|-----------------|-----------------|-----------------|---------------|-----------------|-----------------|-----------------|
| MEMORY_COPY_HOST_TO_DEVICE               | MEMORY_COPY  |               8 |           66593 |       8.324e+03 |    100.000000 |            7778 |            9060 |       5.095e+02 |


ROCPROFV3 MEMORY_ALLOCATION SUMMARY:

|                   NAME                   |      DOMAIN       |      CALLS      | DURATION (nsec) | AVERAGE (nsec)  | PERCENT (INC) |   MIN (nsec)    |   MAX (nsec)    |     STDDEV      |
|------------------------------------------|-------------------|-----------------|-----------------|-----------------|---------------|-----------------|-----------------|-----------------|
| MEMORY_ALLOCATION_ALLOCATE               | MEMORY_ALLOCATION |            1957 |         2758125 |       1.409e+03 |     81.908756 |             137 |         1095650 |       3.175e+04 |
| MEMORY_ALLOCATION_FREE                   | MEMORY_ALLOCATION |            1953 |          609189 |       3.119e+02 |     18.091244 |             113 |            1632 |       1.144e+02 |


ROCPROFV3 SUMMARY:

|                                                                                                              NAME                                                                                                               |      DOMAIN       |      CALLS      | DURATION (nsec) | AVERAGE (nsec)  | PERCENT (INC) |   MIN (nsec)    |   MAX (nsec)    |     STDDEV      |
|---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|-------------------|-----------------|-----------------|-----------------|---------------|-----------------|-----------------|-----------------|
| hipMemcpy                                                                                                                                                                                                                       | HIP_API           |             485 |       192622646 |       3.972e+05 |     63.320463 |            3251 |       188009595 |       8.537e+06 |
| hipGetDeviceCount                                                                                                                                                                                                               | HIP_API           |               1 |        61236056 |       6.124e+07 |     20.130008 |        61236056 |        61236056 |       0.000e+00 |
| hipLaunchKernel                                                                                                                                                                                                                 | HIP_API           |            1810 |        18321752 |       1.012e+04 |      6.022873 |            3091 |         8384965 |       1.972e+05 |
| hipFree                                                                                                                                                                                                                         | HIP_API           |            1953 |        12866861 |       6.588e+03 |      4.229698 |             790 |           59042 |       8.198e+03 |
| void microllm::ops::hip::(anonymous namespace)::matmul_typed_kernel<float>(float const*, float const*, float*, long, long, long, long)                                                                                          | KERNEL_DISPATCH   |             720 |         7891251 |       1.096e+04 |      2.594075 |            7257 |           46346 |       4.151e+03 |
| MEMORY_ALLOCATION_ALLOCATE                                                                                                                                                                                                      | MEMORY_ALLOCATION |            1957 |         2758125 |       1.409e+03 |      0.906673 |             137 |         1095650 |       3.175e+04 |
| hipMalloc                                                                                                                                                                                                                       | HIP_API           |            1953 |         2674224 |       1.369e+03 |      0.879092 |             716 |           47472 |       1.481e+03 |
| __amd_rocclr_copyBuffer                                                                                                                                                                                                         | KERNEL_DISPATCH   |             477 |         1161516 |       2.435e+03 |      0.381823 |             682 |            6575 |       1.390e+03 |
