"Domain","Function","Process_Id","Thread_Id","Correlation_Id","Start_Timestamp","End_Timestamp"
"HIP_RUNTIME_API_EXT","hipGetDeviceCount",2659141,2659141,1,3219604133708053,3219604194944109
"HIP_RUNTIME_API_EXT","hipSetDevice",2659141,2659141,2,3219604196833858,3219604196835247
"HIP_RUNTIME_API_EXT","hipMalloc",2659141,2659141,3,3219604196844814,3219604196892286
"HIP_RUNTIME_API_EXT","hipSetDevice",2659141,2659141,4,3219604196893446,3219604196893644
"HIP_RUNTIME_API_EXT","hipMemcpy",2659141,2659141,5,3219604196899357,3219604384908952
"HIP_RUNTIME_API_EXT","hipSetDevice",2659141,2659141,6,3219604384920469,3219604384921239
"HIP_RUNTIME_API_EXT","hipMalloc",2659141,2659141,7,3219604384923084,3219604384932861
"HIP_RUNTIME_API_EXT","hipSetDevice",2659141,2659141,8,3219604384934045,3219604384934184
"HIP_RUNTIME_API_EXT","hipMemcpy",2659141,2659141,9,3219604384935151,3219604384998655
"HIP_RUNTIME_API_EXT","hipSetDevice",2659141,2659141,10,3219604385000050,3219604385000133
"HIP_RUNTIME_API_EXT","hipMalloc",2659141,2659141,11,3219604385001401,3219604385005585
"HIP_RUNTIME_API_EXT","hipSetDevice",2659141,2659141,12,3219604385006127,3219604385006187
"HIP_RUNTIME_API_EXT","hipMemcpy",2659141,2659141,13,3219604385006776,3219604385027587
"HIP_RUNTIME_API_EXT","hipSetDevice",2659141,2659141,14,3219604385028550,3219604385028621
"HIP_RUNTIME_API_EXT","hipMalloc",2659141,2659141,15,3219604385029326,3219604385031166
"HIP_RUNTIME_API_EXT","hipSetDevice",2659141,2659141,16,3219604385031656,3219604385031717
"HIP_RUNTIME_API_EXT","hipMemcpy",2659141,2659141,17,3219604385032137,3219604385050354
"HIP_RUNTIME_API_EXT","hipSetDevice",2659141,2659141,18,3219604385052232,3219604385052292
"HIP_RUNTIME_API_EXT","hipMalloc",2659141,2659141,19,3219604385052661,3219604385054265
"HIP_RUNTIME_API_EXT","hipSetDevice",2659141,2659141,20,3219604385054685,3219604385054745
"HIP_RUNTIME_API_EXT","hipMemcpy",2659141,2659141,21,3219604385055126,3219604385073139
