model	group	tensors	elements	scalar_rel_l2	column_rel_l2	ratio	scalar_rms	column_rms	scalar_max	column_max	column_scale_median_p50	column_scale_max_p50	max_over_median_p50	improved	equal	worse
deepseek-r1-distill-qwen-1.5b	all_linear	197	1543569408	0.026493034734895792	0.026386243231140825	0.9959690724439996	0.0010191069966924476	0.0010149990502169672	0.04218757152557373	0.04218757152557373	0.0006266276468522847	0.0025716146919876337	4.01606447113992	189	0	8
deepseek-r1-distill-qwen-1.5b	attention	112	154140672	0.026490778537714782	0.026351452561237304	0.9947405858125642	0.0012402618596130787	0.0012337388087924944	0.04218757152557373	0.04218757152557373	0.0006490071828011423	0.0017822266672737896	2.8468576782847297	111	0	1
deepseek-r1-distill-qwen-1.5b	ffn	84	1156055040	0.02649669948969913	0.026413258542130683	0.9968508927838018	0.0010296119608263021	0.00102636960237058	0.04140627384185791	0.04140627384185791	0.0006103516207076609	0.003149414318613708	5.139480709212806	77	0	7
deepseek-r1-distill-qwen-1.5b	output_head	1	233373696	0.026464923195713815	0.026208977361929217	0.9903288654234201	0.0007758486111372865	0.0007683452748079253	0.010937482118606567	0.009179696440696716	0.0006469726795330644	0.0013671875931322575	2.1132076150711487	1	0	0
qwen2.5-0.5b	all_linear	168	357826560	0.02649065729581643	0.026298907164336048	0.9927615940465673	0.0005395024035182128	0.0005355972661086953	0.04218757152557373	0.041666626930236816	0.00031941733323037624	0.001403808651957661	4.301060989223792	166	0	2
qwen2.5-0.5b	attention	96	44040192	0.02647164236485637	0.026194996528487214	0.9895493512432598	0.0006148269220945696	0.0006084015818855716	0.04218757152557373	0.041666626930236816	0.00033467613684479147	0.0010213216301053762	2.8922115572633063	95	0	1
qwen2.5-0.5b	ffn	72	313786368	0.02649427961876223	0.026318663940399774	0.9933715624319865	0.000528071427718928	0.0005245711392288413	0.025390595197677612	0.025390595197677612	0.0003092448168899864	0.0018554688431322575	5.550937522885789	71	0	1
