model	context	baseline_max	new_max	max_ratio	max_improved	baseline_rms	new_rms	rms_ratio	rms_improved	baseline_tps	new_tps	tps_percent_change	t512_tps_gate	resident_delta	peak_delta	precision_gate
qwen2.5-0.5b	8	0.9994700998067856	1.1014398336410522	1.1020237962636192	false	0.19245532295273582	0.247828691469637	1.2877206390934695	false	1503.511356804	1503.290138379	-0.014713452212966605	not-comparable	1215840	1257316	false
qwen2.5-0.5b	512	1.4751496315002441	1.643660545349121	1.1142330989687463	false	0.2925066092695958	0.3737955339865957	1.277904574258963	false	85193.327565405	74040.899209368	-13.090729843220416	false	1215840	1215840	false
deepseek-r1-distill-qwen-1.5b	8	1.243237018585205	0.868688702583313	0.6987313678705245	true	0.43789038513215195	0.1795089483023718	0.40994037411485384	true	843.703415048	1222.619437693	44.911045266237636	not-comparable	3187436	3760876	false
deepseek-r1-distill-qwen-1.5b	512	1.2399201393127441	0.9597628116607666	0.7740521193507982	true	0.249140100254465	0.1657151456736398	0.665148426545477	true	50545.7476366	44044.296404122	-12.862508789503636	false	3187436	3187436	false
