"Name","Calls","TotalDurationNs","AverageNs","Percentage","MinNs","MaxNs","StdDev"
"hipModuleLoad",5,3779260776,755852155.200000,82.98,143010338,1516216279,584692126.067855
"hipFree",2752,335985080,122087.601744,7.38,894,9295225,633298.472414
"hipMemcpy",301,293374336,974665.568106,6.44,15857,187166130,10778136.720103
"hipGetDeviceCount",3,60813328,20271109.333333,1.34,101,60812587,35109949.567327
"hipMalloc",3012,35311849,11723.721448,0.7753,885,160774,14730.036786
"hipLaunchKernel",3412,27640839,8101.066530,0.6069,3183,7697124,132013.867791
"hipExtModuleLaunchKernel",1448,7191305,4966.370856,0.1579,3181,82641,3826.264386
"hipDeviceGetAttribute",35960,5964888,165.875640,0.1310,119,8633,92.721745
"hipGetDevicePropertiesR0600",23782,3781844,159.021277,0.0830,95,7519,98.567292
"hipGetDevice",23780,1741059,73.215265,0.0382,43,1321,33.301994
"hipSetDevice",14996,1121535,74.788944,0.0246,48,52233,429.323783
"hipRuntimeGetVersion",17981,905782,50.374395,0.0199,40,1081,19.879825
"hipEventQuery",6413,549548,85.692811,0.0121,59,2024,62.807935
"hipGetLastError",3436,226709,65.980501,4.978e-03,39,1399,64.670847
"hipEventRecord",135,210999,1562.955556,4.633e-03,860,4305,506.168220
"hipDeviceSynchronize",7,100955,14422.142857,2.217e-03,468,51932,17680.709756
"hipModuleGetFunction",35,64002,1828.628571,1.405e-03,322,4487,1212.484326
"hipEventDestroy",118,43903,372.059322,9.640e-04,105,2135,298.460360
"hipMemset",2,30561,15280.500000,6.710e-04,10016,20545,7445.127299
"hipEventCreateWithFlags",135,29525,218.703704,6.483e-04,91,2175,204.129607
"hipDriverGetVersion",1,879,879.000000,1.930e-05,879,879,0.00000000e+00
