"Name","Calls","TotalDurationNs","AverageNs","Percentage","MinNs","MaxNs","StdDev"
"hipModuleLoad",5,5162261875,1032452375.000000,82.85,158450682,1714559788,1201974744.699971
"hipMemcpy",297,392087384,1320159.542088,6.29,17489,229215188,13399161.468040
"hipDeviceSynchronize",6,230863855,38477309.166667,3.71,372,105704094,47240488.498422
"hipFree",2593,211976371,81749.468184,3.40,1315,8669924,278406.390603
"hipLaunchKernel",5547,68322516,12317.021092,1.10,3287,24076109,323391.497923
"hipMalloc",4254,66538005,15641.279972,1.07,987,1345213,25020.941063
"hipSetDevice",21346,60335423,2826.544692,0.9683,49,58761534,402192.839248
"hipExtModuleLaunchKernel",1953,14086053,7212.520737,0.2261,3905,67048,4688.462478
"hipDeviceGetAttribute",55458,8815706,158.961845,0.1415,118,66984,292.784522
"hipGetDevicePropertiesR0600",35550,5520762,155.295696,0.0886,95,3103,59.308863
"hipEventQuery",56405,4387705,77.789292,0.0704,60,24079,145.326466
"hipGetDevice",35545,2484706,69.903109,0.0399,43,2541,38.285335
"hipRuntimeGetVersion",27730,1411307,50.894591,0.0226,40,7370,60.748472
"hipEventRecord",266,805112,3026.736842,0.0129,1135,29399,2616.768188
"hipEventCreateWithFlags",266,477820,1796.315789,7.668e-03,92,352616,21630.961303
"hipGetLastError",5593,395415,70.698194,6.346e-03,39,11637,181.565925
"hipEventDestroy",158,141526,895.734177,2.271e-03,158,3389,653.308507
"hipModuleGetFunction",64,125104,1954.750000,2.008e-03,207,5717,1410.929908
"hipMemset",2,22588,11294.000000,3.625e-04,10038,12550,1776.252234
"hipGetDeviceCount",2,921,460.500000,1.478e-05,51,870,579.120454
"hipDriverGetVersion",1,845,845.000000,1.356e-05,845,845,0.00000000e+00
