"Name","Calls","TotalDurationNs","AverageNs","Percentage","MinNs","MaxNs","StdDev"
"hipModuleLoad",4,2652225175,663056293.750000,79.70,181956307,1549769770,609847205.269210
"hipMemcpy",2610,420635492,161163.023755,12.64,3340,220738274,4333851.473282
"hipFree",2276,69411338,30497.072935,2.09,1001,690351,81061.805588
"hipGetDeviceCount",3,58844509,19614836.333333,1.77,61,58843620,33973123.217062
"hipLaunchKernel",4601,53262098,11576.200391,1.60,3443,24702236,364230.498607
"hipDeviceSynchronize",9,35853896,3983766.222222,1.08,413,12858326,5912562.233606
"hipMalloc",3039,16295420,5362.099375,0.4897,910,124443,10365.492622
"hipExtModuleLaunchKernel",2028,10368294,5112.571006,0.3116,3473,77562,3472.295127
"hipDeviceGetAttribute",18126,2807059,154.863676,0.0844,125,2948,43.253603
"hipGetDevicePropertiesR0600",17185,2486627,144.697527,0.0747,96,2855,60.160883
"hipSetDevice",22808,1589856,69.706068,0.0478,49,40775,273.038888
"hipEventQuery",16974,1427349,84.090315,0.0429,59,23058,181.719780
"hipGetDevice",17183,1107041,64.426526,0.0333,43,7379,81.145294
"hipEventRecord",282,521766,1850.234043,0.0157,983,18741,1522.028119
"hipRuntimeGetVersion",9064,443933,48.977604,0.0133,41,1444,24.777261
"hipGetLastError",4615,273419,59.245720,8.216e-03,40,1644,60.473388
"hipEventCreateWithFlags",282,78186,277.255319,2.349e-03,108,7081,601.119678
"hipEventDestroy",233,74806,321.055794,2.248e-03,115,2292,270.395976
"hipModuleGetFunction",23,46848,2036.869565,1.408e-03,371,4684,1367.373039
"hipMemset",2,27954,13977.000000,8.400e-04,10758,17196,4552.353457
"hipDriverGetVersion",1,1384,1384.000000,4.159e-05,1384,1384,0.00000000e+00
